DATE,GOLDPMGBD228NLBM
2017-12-08,1250.65
2017-12-11,1247.15
2017-12-12,1240.90
2017-12-13,1242.65
2017-12-14,1251.00
2017-12-15,1254.60
2017-12-18,1260.60
2017-12-19,1260.35
2017-12-20,1264.55
2017-12-21,1264.55
2017-12-22,.
2017-12-25,.
2017-12-26,.
2017-12-27,1279.40
2017-12-28,1291.00
2017-12-29,.
2018-01-01,.
2018-01-02,1312.05
2018-01-03,1314.90
2018-01-04,1314.50
2018-01-05,1317.15
2018-01-08,1319.95
2018-01-09,1311.00
2018-01-10,1319.75
2018-01-11,1323.05
2018-01-12,1326.80
2018-01-15,1339.25
2018-01-16,1333.85
2018-01-17,1335.65
2018-01-18,1332.20
2018-01-19,1334.95
2018-01-22,1332.60
2018-01-23,1333.40
2018-01-24,1353.70
2018-01-25,1354.95
2018-01-26,1353.15
2018-01-29,1343.85
2018-01-30,1344.90
2018-01-31,1345.05
2018-02-01,1341.35
2018-02-02,1331.15
2018-02-05,1333.60
2018-02-06,1331.40
2018-02-07,1324.65
2018-02-08,1315.45
2018-02-09,1314.10
2018-02-12,1322.30
2018-02-13,1325.35
2018-02-14,1336.25
2018-02-15,1352.45
2018-02-16,1352.10
2018-02-19,1346.60
2018-02-20,1339.85
2018-02-21,1330.50
2018-02-22,1328.35
2018-02-23,1327.95
2018-02-26,1333.50
2018-02-27,1325.75
2018-02-28,1317.85
2018-03-01,1307.75
2018-03-02,1322.30
2018-03-05,1320.40
2018-03-06,1331.40
2018-03-07,1329.40
2018-03-08,1321.00
2018-03-09,1320.60
2018-03-12,1319.15
2018-03-13,1322.75
2018-03-14,1323.55
2018-03-15,1318.75
2018-03-16,1310.10
2018-03-19,1312.40
2018-03-20,1311.00
2018-03-21,1321.35
2018-03-22,1329.15
2018-03-23,1346.60
2018-03-26,1352.40
2018-03-27,1341.45
2018-03-28,1332.45
2018-03-29,1323.85
2018-03-30,.
2018-04-02,.
2018-04-03,1333.45
2018-04-04,1337.30
2018-04-05,1327.70
2018-04-06,1331.20
2018-04-09,1331.95
2018-04-10,1338.95
2018-04-11,1350.75
2018-04-12,1341.35
2018-04-13,1343.70
2018-04-16,1349.35
2018-04-17,1342.10
2018-04-18,1351.45
2018-04-19,1348.60
2018-04-20,1336.75
2018-04-23,1324.30
2018-04-24,1328.85
2018-04-25,1321.65
2018-04-26,1320.70
2018-04-27,1321.50
2018-04-30,1313.20
2018-05-01,1307.10
2018-05-02,1304.20
2018-05-03,1315.05
2018-05-04,1309.40
2018-05-07,.
2018-05-08,1306.60
2018-05-09,1313.85
2018-05-10,1318.80
2018-05-11,1324.35
2018-05-14,1319.85
2018-05-15,1295.00
2018-05-16,1291.25
2018-05-17,1289.50
2018-05-18,1288.30
2018-05-21,1288.35
2018-05-22,1293.05
2018-05-23,1289.00
2018-05-24,1304.85
2018-05-25,1303.50
2018-05-28,.
2018-05-29,1295.50
2018-05-30,1300.70
2018-05-31,1305.35
2018-06-01,1294.60
2018-06-04,1295.45
2018-06-05,1292.05
2018-06-06,1300.10
2018-06-07,1297.25
2018-06-08,1298.25
2018-06-11,1299.60
2018-06-12,1298.65
